ECCAIRSNUMBER,Local date,Occurrence class,Aircraft registration,Occurrence category,Operation type,Operation type,Operator type,Weather conditions,Mass group,Location name,Total fatalities
ACCID-01-23,4/26/2023,Accident,CP-2625,AMAN: Abrupt maneuvre,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Santa Cruz,5
INCID G-01-23,1/18/2023,Serious incident,CP-2650,SCF-NP: System/component failure or malfunction [non-powerplant],Non-Commercial Operations,Business,Private owner,VMC,0-2 250 Kg,Santa Cruz,0
ACCID-05-21,9/1/2021,Accident,CP-3104,SCF-NP: System/component failure or malfunction [non-powerplant],Non-Commercial Operations,Non-Commercial Operations,Private owner,VMC,0-2 250 Kg,Beni,0
ACCID-02-23,7/9/2023,Accident,CP-3089,ARC: Abnormal runway contact,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Santa Cruz,0
ACCID-03-23,8/24/2023,Accident,CP-1859,SCF-NP: System/component failure or malfunction [non-powerplant],Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Beni,0
INCID-03-23,8/2/2023,Incident,CP-3203,SCF-PP: powerplant failure or malfunction,Commercial Air Transport,Other,Corporate/executive,VMC,0-2 250 Kg,Santa Cruz,0
INCID G-04-20,1/14/2020,Serious incident,ECO-983,SCF-PP: powerplant failure or malfunction,Specialised Operations (Aerial Work),Airline,Sales/rental/service,VMC,5 701 to 27 000 Kg,DOLGI,0
ACCID-07-21,12/8/2021,Accident,CP-2667,ATM: ATM/CNS,Commercial Air Transport,Flight Training/Instructional,Flying club/school,VMC,0-2 250 Kg,Santa Cruz,0
ACCID-08-21,12/10/2021,Accident,CP-3060,FUEL: Fuel related,Non-Commercial Operations,Pleasure,Private owner,VMC,0-2 250 Kg,Beni,0
ACCID-09-21,12/23/2021,Accident,CP-1425,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Beni,0
INCID G-09-21,11/25/2021,Serious incident,CP-2889,ARC: Abnormal runway contact,Non-Commercial Operations,Airline,Sales/rental/service,VMC,5 701 to 27 000 Kg,Santa Cruz,0
INCID-01-19,3/7/2019,Incident,CP-3020,ATM: ATM/CNS,Commercial Air Transport,Airline,Sales/rental/service,VMC,5 701 to 27 000 Kg,La Paz,0
ACCID-04-23,9/19/2023,Accident,CP-2764,SCF-NP: System/component failure or malfunction [non-powerplant],Commercial Air Transport,First Solo,Flying club/school,VMC,0-2 250 Kg,Santa Cruz,0
ACCID-05-23,9/20/2023,Accident,CP-2180,ARC: Abnormal runway contact,Non-Commercial Operations,Non-Commercial Operations,Private owner,VMC,0-2 250 Kg,Beni,1
INCID G-02-23,2/21/2023,Serious incident,CP-2889,F-NI: Fire/smoke (non-impact),Non-Commercial Operations,Airline,Sales/rental/service,VMC,27 001 to 272 000 Kg,La Paz,0
INCID-01-23,2/6/2023,Incident,CP-2122,ARC: Abnormal runway contact,Commercial Air Transport,Other,Private owner,VMC,0-2 250 Kg,Beni,0
INCID-02-23,4/21/2023,Incident,CP-918,ARC: Abnormal runway contact,Non-Commercial Operations,Flight Training/Instructional,Flying club/school,VMC,0-2 250 Kg,Santa Cruz,0
INCID G-03-23,9/15/2023,Serious incident,CP-2916,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,Other,Private owner,VMC,0-2 250 Kg,Santa Cruz,0
INCID-05-22,12/4/2022,Incident,CP-2852,SCF-PP: powerplant failure or malfunction,Non-Commercial Operations,,,VMC,5 701 to 27 000 Kg,Beni,0
INCID G-04-23,12/17/2023,Serious incident,CP-2003,ADRM: Aerodrome,,Non-Commercial Operations,Private owner,,0-2 250 Kg,Santa Cruz,0
